Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-28,2016,7,28,Thursday,30,2016-30,216.29,217.11,215.75,216.77,65035700,193.11,0.00115457765715421,192.4935714285714,187.15779999999998
2016-07-29,2016,7,29,Friday,30,2016-30,216.46,217.54,216.13,217.12,79519400,193.42,0.001614386569846138,192.73000000000002,187.39419999999998
2016-08-01,2016,8,1,Monday,31,2016-31,217.19,217.65,216.41,216.94,73311400,193.26,-0.0008288095656583394,192.85642857142855,187.64
2016-08-02,2016,8,2,Tuesday,31,2016-31,216.65,216.83,214.57,215.55,92295500,192.02,-0.006407323955316069,192.89642857142854,187.8382
2016-08-03,2016,8,3,Wednesday,31,2016-31,215.48,216.25,215.13,216.18,53993600,192.58,0.0029226768414174487,192.90000000000003,188.05259999999998
2016-08-04,2016,8,4,Thursday,31,2016-31,216.31,216.78,214.25,216.41,46585500,192.79,0.0010641674511973065,192.93714285714287,188.22400000000002
2016-08-05,2016,8,5,Friday,31,2016-31,216.41,218.23,216.41,218.18,71892200,194.36,0.008178754076614503,193.04928571428573,188.4018
2016-08-08,2016,8,8,Monday,32,2016-32,218.4,218.52,217.74,218.05,39906500,194.25,-0.0005958596000911198,193.16785714285714,188.5762
2016-08-09,2016,8,9,Tuesday,32,2016-32,218.13,218.76,217.8,218.18,51251700,194.36,0.0005962148604394812,193.23714285714286,188.737
2016-08-10,2016,8,10,Wednesday,32,2016-32,218.31,218.4,217.23,217.64,57941100,193.88,-0.002475133263724838,193.3242857142857,188.89519999999996
2016-08-11,2016,8,11,Thursday,32,2016-32,218.26,218.94,217.95,218.65,72504300,194.78,0.004640663755161478,193.41357142857143,189.06380000000001
2016-08-12,2016,8,12,Friday,32,2016-32,218.29,218.71,217.99,218.46,61313500,194.61,-0.0008690721702786508,193.52857142857144,189.21760000000003
2016-08-15,2016,8,15,Monday,33,2016-33,218.89,219.5,218.88,219.09,49813500,195.18,0.002883902801295024,193.67785714285714,189.394
2016-08-16,2016,8,16,Tuesday,33,2016-33,218.6,218.68,217.96,217.96,53213600,194.17,-0.00515752215654941,193.7692857142857,189.5312
2016-08-17,2016,8,17,Wednesday,33,2016-33,218.0,218.53,217.02,218.37,75134300,194.53,0.0018808561628333997,193.87071428571429,189.6698
2016-08-18,2016,8,18,Thursday,33,2016-33,218.34,218.9,218.21,218.86,52989300,194.97,0.0022440993364964967,193.98142857142855,189.805
2016-08-19,2016,8,19,Friday,33,2016-33,218.31,218.75,217.74,218.54,75443000,194.69,-0.0014620899073378713,194.08357142857145,189.9398
2016-08-22,2016,8,22,Monday,34,2016-34,218.26,218.8,217.83,218.53,61368800,194.68,-4.553677670782186e-05,194.27357142857144,190.11
2016-08-23,2016,8,23,Tuesday,34,2016-34,219.25,219.6,218.9,218.97,53399200,195.07,0.0020131934122762374,194.45142857142855,190.3166
2016-08-24,2016,8,24,Wednesday,34,2016-34,218.8,218.91,217.36,217.85,71728900,194.07,-0.005114900459339045,194.54285714285714,190.51059999999998
2016-08-25,2016,8,25,Thursday,34,2016-34,217.4,218.19,217.22,217.7,69224800,193.94,-0.0006885960149962678,194.51285714285717,190.707
2016-08-26,2016,8,26,Friday,34,2016-34,217.92,219.12,216.25,217.29,122506300,193.57,-0.0018831027055734584,194.46428571428572,190.885
2016-08-29,2016,8,29,Monday,35,2016-35,217.44,218.67,217.4,218.36,70502200,194.53,0.004924112448575935,194.47642857142858,191.09599999999998
2016-08-30,2016,8,30,Tuesday,35,2016-35,218.26,218.59,217.35,218.0,58114500,194.2,-0.0016485980053352334,194.4992857142857,191.2768
2016-08-31,2016,8,31,Wednesday,35,2016-35,217.61,217.75,216.47,217.38,85269500,193.65,-0.0028441021415936962,194.41857142857143,191.43600000000004
